Industry,Score
Blockchain,0
Public services / Government,20
Adtech / Advertising,10
Telecom,15
Automotive,15
E-commerce,15
Media,5
Інша,10
Dating,5
Edtech / Education,15
Legal,20
Big Data,20
Logistics,20
Data Science,20
Fintech / Banking,20
Mobile,15
Insurance,10
ERP,10
Gambling,5
Machine Learning,20
Agriculture,15
GameDev,10
Medtech / Healthcare,15
Cloud Computing,20
Embedded,10
Travel,5
Security,15
Retail,10
Manufacturing,15
Hardware,15
High Load Systems,15
Uberfication,10
Real Estate,10
Internet of Things,15
Geospatial,10
AR/VR,10
Robotics,10